Field	Term	Ontology Identifier	Definition	Guidance	Editor Note
food_product_origin geo_loc (country)	Spain	GAZ:00003936	That part of the Kingdom of Spain that occupies the Iberian Peninsula plus the Balaeric Islands. The Spanish mainland is bordered to the south and east almost entirely by the Mediterranean Sea (except for a small land boundary with Gibraltar); to the north by France, Andorra, and the Bay of Biscay; and to the west by the Atlantic Ocean and Portugal.		
food_product_origin geo_loc (country)	Spratly Islands	GAZ:00010831	A group of >100 islands located in the Southeastern Asian group of reefs and islands in the South China Sea, about two-thirds of the way from southern Vietnam to the southern Philippines.		
food_product_origin geo_loc (country)	Sri Lanka	GAZ:00003924	An island nation in South Asia, located about 31 km off the southern coast of India. Sri Lanka is divided into 9 provinces and 25 districts. Districts are divided into Divisional Secretariats.		
food_product_origin geo_loc (country)	State of Palestine	GAZ:00002475	The territory under the administration of the Palestine National Authority, as established by the Oslo Accords. The PNA divides the Palestinian territories into 16 governorates.		
food_product_origin geo_loc (country)	Sudan	GAZ:00000560	A country in North Africa. It is bordered by Egypt to the north, the Red Sea to the northeast, Eritrea and Ethiopia to the east, Kenya and Uganda to the southeast, Democratic Republic of the Congo and the Central African Republic to the southwest, Chad to the west and Libya to the northwest. Sudan is divided into twenty-six states (wilayat, singular wilayah) which in turn are subdivided into 133 districts.		
food_product_origin geo_loc (country)	Suriname	GAZ:00002525	A country in northern South America. It is situated between French Guiana to the east and Guyana to the west. The southern border is shared with Brazil and the northern border is the Atlantic coast. The southernmost border with French Guiana is disputed along the Marowijne river. Suriname is divided into 10 districts, each of which is divided into Ressorten.		
food_product_origin geo_loc (country)	Svalbard	GAZ:00005396	An archipelago of continental islands lying in the Arctic Ocean north of mainland Europe, about midway between Norway and the North Pole.		
food_product_origin geo_loc (country)	Swaziland	GAZ:00001099	A small, landlocked country in Africa embedded between South Africa in the west, north and south and Mozambique in the east. Swaziland is divided into four districts, each of which is divided into Tinkhundla (singular, Inkhundla).		
food_product_origin geo_loc (country)	Sweden	GAZ:00002729	A Nordic country on the Scandinavian Peninsula in Northern Europe. It has borders with Norway (west and north) and Finland (northeast). Sweden is a unitary state, currently divided into twenty-one counties (lan). Each county further divides into a number of municipalities or kommuner, with a total of 290 municipalities in 2004.		
food_product_origin geo_loc (country)	Switzerland	GAZ:00002941	A federal republic in Europe. Switzerland is bordered by Germany, France, Italy, Austria and Liechtenstein. The Swiss Confederation consists of 26 cantons. The Cantons comprise a total of 2,889 municipalities. Within Switzerland there are two enclaves: Busingen belongs to Germany, Campione d'Italia belongs to Italy.		
food_product_origin geo_loc (country)	Syria	GAZ:00002474	A country in Southwest Asia, bordering Lebanon, the Mediterranean Sea and the island of Cyprus to the west, Israel to the southwest, Jordan to the south, Iraq to the east, and Turkey to the north. Syria has fourteen governorates, or muhafazat (singular: muhafazah). The governorates are divided into sixty districts, or manatiq (singular: mintaqah), which are further divided into sub-districts, or nawahi (singular: nahia).		
food_product_origin geo_loc (country)	Taiwan	GAZ:00005341	A state in East Asia with de facto rule of the island of Tawain and adjacent territory. The Republic of China currently administers two historical provinces of China (one completely and a small part of another one) and centrally administers two direct-controlled municipalities.		
food_product_origin geo_loc (country)	Tajikistan	GAZ:00006912	A mountainous landlocked country in Central Asia. Afghanistan borders to the south, Uzbekistan to the west, Kyrgyzstan to the north, and People's Republic of China to the east. Tajikistan consists of 4 administrative divisions. These are the provinces (viloyat) of Sughd and Khatlon, the autonomous province of Gorno-Badakhshan (abbreviated as GBAO), and the Region of Republican Subordination (RRP, Raiony Respublikanskogo Podchineniya in Russian; formerly known as Karotegin Province). Each region is divided into several districts (nohiya or raion).		
food_product_origin geo_loc (country)	Tanzania	GAZ:00001103	A country in East Africa bordered by Kenya and Uganda on the north, Rwanda, Burundi and the Democratic Republic of the Congo on the west, and Zambia, Malawi and Mozambique on the south. To the east it borders the Indian Ocean. Tanzania is divided into 26 regions (mkoa), twenty-one on the mainland and five on Zanzibar (three on Unguja, two on Pemba). Ninety-eight districts (wilaya), each with at least one council, have been created to further increase local authority; the councils are also known as local government authorities. Currently there are 114 councils operating in 99 districts; 22 are urban and 92 are rural. The 22 urban units are further classified as city councils (Dar es Salaam and Mwanza), municipal councils (Arusha, Dodoma, Iringa, Kilimanjaro, Mbeya, Morogoro, Shinyanga, Tabora, and Tanga) or town councils (the remaining eleven communities).		
food_product_origin geo_loc (country)	Thailand	GAZ:00003744	A country in Southeast Asia. To its east lie Laos and Cambodia; to its south, the Gulf of Thailand and Malaysia; and to its west, the Andaman Sea and Burma. Its capital and largest city is Bangkok. Thailand is divided into 75 provinces (changwat), which are gathered into 5 groups of provinces by location. There are also 2 special governed districts: the capital Bangkok (Krung Thep Maha Nakhon) and Pattaya, of which Bangkok is at provincial level and thus often counted as a 76th province.		
food_product_origin geo_loc (country)	Timor-Leste	GAZ:00006913	A country in Southeast Asia. It comprises the eastern half of the island of Timor, the nearby islands of Atauro and Jaco, and Oecussi-Ambeno, an exclave on the northwestern side of the island, within Indonesian West Timor. The small country of 15,410 km2 is located about 640 km northwest of Darwin, Australia. East Timor is divided into thirteen administrative districts, are subdivided into 65 subdistricts, 443 sucos and 2,336 towns, villages and hamlets.		
food_product_origin geo_loc (country)	Togo	GAZ:00000915	A country in West Africa bordering Ghana in the west, Benin in the east and Burkina Faso in the north. In the south, it has a short Gulf of Guinea coast, on which the capital Lome is located.		
food_product_origin geo_loc (country)	Tokelau	GAZ:00260188	A dependent territory of New Zealand in the southern Pacific Ocean. It consists of three tropical coral atolls: Atafu, Nukunonu, and Fakaofo. They have a combined land area of 10 km2 (4 sq mi).		
food_product_origin geo_loc (country)	Tonga	GAZ:00006916	A Polynesian country, and also an archipelago comprising 169 islands, of which 36 are inhabited. The archipelago's total surface area is about 750 square kilometres (290 sq mi) scattered over 700,000 square kilometres (270,000 sq mi) of the southern Pacific Ocean.		
food_product_origin geo_loc (country)	Trinidad and Tobago	GAZ:00003767	An archipelagic state in the southern Caribbean, lying northeast of the South American nation of Venezuela and south of Grenada in the Lesser Antilles. It also shares maritime boundaries with Barbados to the northeast and Guyana to the southeast. The country covers an area of 5,128 km2and consists of two main islands, Trinidad and Tobago, and 21 smaller islands.		
food_product_origin geo_loc (country)	Tromelin Island	GAZ:00005812	A low, flat 0.8 km2 island in the Indian Ocean, about 350 km east of Madagascar. Tromelin is a low, scrub-covered sandbank about 1,700 m long and 700 m wide, surrounded by coral reefs. The island is 7 m high at its highest point.		
food_product_origin geo_loc (country)	Tunisia	GAZ:00000562	A country situated on the Mediterranean coast of North Africa. It is bordered by Algeria to the west and Libya to the southeast. Tunisia is subdivided into 24 governorates, divided into 262 "delegations" or "districts" (mutamadiyat), and further subdivided into municipalities (shaykhats).		
food_product_origin geo_loc (country)	Turkey	GAZ:00000558	A Eurasian country that stretches across the Anatolian peninsula in western Asia and Thrace (Rumelia) in the Balkan region of southeastern Europe. Turkey borders eight countries: Bulgaria to the northwest; Greece to the west, Georgia to the northeast; Armenia, Azerbaijan (the exclave of Nakhichevan), and Iran to the east; and Iraq and Syria to the southeast. The Mediterranean Sea and Cyprus are to the south; the Aegean Sea and Archipelago are to the west; and the Black Sea is to the north. Separating Anatolia and Thrace are the Sea of Marmara and the Turkish Straits (the Bosporus and the Dardanelles), which are commonly reckoned to delineate the border between Asia and Europe, thereby making Turkey transcontinental. The territory of Turkey is subdivided into 81 provinces for administrative purposes. The provinces are organized into 7 regions for census purposes; however, they do not represent an administrative structure. Each province is divided into districts, for a total of 923 districts.		
food_product_origin geo_loc (country)	Turkmenistan	GAZ:00005018	A country in Central Asia. It is bordered by Afghanistan to the southeast, Iran to the southwest, Uzbekistan to the northeast, Kazakhstan to the northwest, and the Caspian Sea to the west. It was a constituent republic of the Soviet Union, the Turkmen Soviet Socialist Republic. Turkmenistan is divided into five provinces or welayatlar (singular - welayat) and one independent city.		
food_product_origin geo_loc (country)	Turks and Caicos Islands	GAZ:00003955	A British Overseas Territory consisting of two groups of tropical islands in the West Indies. The Turks and Caicos Islands are divided into six administrative districts (two in the Turks Islands and four in the Caicos Islands.		
food_product_origin geo_loc (country)	Tuvalu	GAZ:00009715	A Polynesian island nation located in the Pacific Ocean midway between Hawaii and Australia.		
food_product_origin geo_loc (country)	United States of America	GAZ:00002459	A federal constitutional republic comprising fifty states and a federal district. The country is situated mostly in central North America, where its forty-eight contiguous states and Washington, DC, the capital district, lie between the Pacific and Atlantic Oceans, bordered by Canada to the north and Mexico to the south. The State of Alaska is in the northwest of the continent, with Canada to its east and Russia to the west across the Bering Strait, and the State of Hawaii is in the mid-Pacific. The United States also possesses several territories, or insular areas, that are scattered around the Caribbean and Pacific. The states are divided into smaller administrative regions, called counties in most states, exceptions being Alaska (parts of the state are organized into subdivisions called boroughs; the rest of the state's territory that is not included in any borough is divided into "census areas"), and Louisiana (which is divided into county-equivalents that are called parishes). There are also independent cities which are within particular states but not part of any particular county or consolidated city-counties. Another type of organization is where the city and county are unified and function as an independent city. There are thirty-nine independent cities in Virginia and other independent cities or city-counties are San Francisco, California, Baltimore, Maryland, St. Louis, Missouri, Denver, Colorado and Carson City, Nevada. Counties can include a number of cities, towns, villages, or hamlets, or sometimes just a part of a city. Counties have varying degrees of political and legal significance, but they are always administrative divisions of the state. Counties in many states are further subdivided into townships, which, by definition, are administrative divisions of a county. In some states, such as Michigan, a township can file a charter with the state government, making itself into a "charter township", which is a type of mixed municipal and township status (giving the township some of the rights of a city without all of the responsibilities), much in the way a metropolitan municipality is a mixed municipality and county.		
food_product_origin geo_loc (country)	Uganda	GAZ:00001102	A landlocked country in East Africa, bordered on the east by Kenya, the north by Sudan, on the west by the Democratic Republic of the Congo, on the southwest by Rwanda, and on the south by Tanzania. The southern part of the country includes a substantial portion of Lake Victoria, within which it shares borders with Kenya and Tanzania. Uganda is divided into 80 districts, spread across four administrative regions: Northern, Eastern, Central and Western. The districts are subdivided into counties.		
food_product_origin geo_loc (country)	Ukraine	GAZ:00002724	A country in Eastern Europe. It borders Russia to the east, Belarus to the north, Poland, Slovakia and Hungary to the west, Romania and Moldova to the southwest, and the Black Sea and Sea of Azov to the south. Ukraine is subdivided into twenty-four oblasts (provinces) and one autonomous republic (avtonomna respublika), Crimea. Additionally, the cities of Kiev, the capital, and Sevastopol, both have a special legal status. The 24 oblasts and Crimea are subdivided into 490 raions (districts), or second-level administrative units.		
food_product_origin geo_loc (country)	United Arab Emirates	GAZ:00005282	A Middle Eastern federation of seven states situated in the southeast of the Arabian Peninsula in Southwest Asia on the Persian Gulf, bordering Oman and Saudi Arabia. The seven states, termed emirates, are Abu Dhabi, Ajman, Dubai, Fujairah, Ras al-Khaimah, Sharjah, and Umm al-Quwain.		
food_product_origin geo_loc (country)	United Kingdom	GAZ:00002637	A sovereign island country located off the northwestern coast of mainland Europe comprising of the four constituent countries; England, Scotland, Wales and Northern Ireland. It comprises the island of Great Britain, the northeast part of the island of Ireland and many small islands. Apart from Northern Ireland the UK is surrounded by the Atlantic Ocean, the North Sea, the English Channel and the Irish Sea. The largest island, Great Britain, is linked to France by the Channel Tunnel.		
food_product_origin geo_loc (country)	Uruguay	GAZ:00002930	A country located in the southeastern part of South America. It is bordered by Brazil to the north, by Argentina across the bank of both the Uruguay River to the west and the estuary of Rio de la Plata to the southwest, and the South Atlantic Ocean to the southeast. Uraguay consists of 19 departments (departamentos, singular - departamento).		
food_product_origin geo_loc (country)	Uzbekistan	GAZ:00004979	A doubly landlocked country in Central Asia, formerly part of the Soviet Union. It shares borders with Kazakhstan to the west and to the north, Kyrgyzstan and Tajikistan to the east, and Afghanistan and Turkmenistan to the south. Uzbekistan is divided into twelve provinces (viloyatlar) one autonomous republic (respublika and one independent city (shahar).		
food_product_origin geo_loc (country)	Vanuatu	GAZ:00006918	An island country located in the South Pacific Ocean. The archipelago, which is of volcanic origin, is 1,750 kilometres (1,090 mi) east of northern Australia, 540 kilometres (340 mi) northeast of New Caledonia, east of New Guinea, southeast of the Solomon Islands, and west of Fiji.		
food_product_origin geo_loc (country)	Venezuela	GAZ:00002931	A country on the northern coast of South America. The country comprises a continental mainland and numerous islands located off the Venezuelan coastline in the Caribbean Sea. The Bolivarian Republic of Venezuela possesses borders with Guyana to the east, Brazil to the south, and Colombia to the west. Trinidad and Tobago, Grenada, St. Lucia, Barbados, Curacao, Bonaire, Aruba, Saint Vincent and the Grenadines and the Leeward Antilles lie just north, off the Venezuelan coast. Venezuela is divided into twenty-three states (Estados), a capital district (distrito capital) corresponding to the city of Caracas, the Federal Dependencies (Dependencias Federales, a special territory), and Guayana Esequiba (claimed in a border dispute with Guyana). Venezuela is further subdivided into 335 municipalities (municipios); these are subdivided into over one thousand parishes (parroquias).		
food_product_origin geo_loc (country)	Viet Nam	GAZ:00003756	The easternmost country on the Indochina Peninsula in Southeast Asia. It borders the Gulf of Thailand, Gulf of Tonkin, and South China Sea, alongside China, Laos, and Cambodia.		
food_product_origin geo_loc (country)	Virgin Islands	GAZ:00003959	A group of islands in the Caribbean that are an insular area of the United States. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles. The US Virgin Islands are an organized, unincorporated United States territory. The US Virgin Islands are administratively divided into two districts and subdivided into 20 sub-districts.		
food_product_origin geo_loc (country)	Wake Island	GAZ:00007111	A coral atoll (despite its name) having a coastline of 19 km in the North Pacific Ocean, located about two-thirds of the way from Honolulu (3,700 km west) to Guam (2,430 km east).		
food_product_origin geo_loc (country)	Wallis and Futuna	GAZ:00007191	A Polynesian French island territory (but not part of, or even contiguous with, French Polynesia) in the South Pacific between Fiji and Samoa. It is made up of three main volcanic tropical islands and a number of tiny islets.		
food_product_origin geo_loc (country)	West Bank	GAZ:00009572	A landlocked territory near the Mediterranean coast of Western Asia, bordered by Jordan and the Dead Sea to the east and by Israel to the south, west and north.[2] Under Israeli occupation since 1967, the area is split into 167 Palestinian "islands" under partial Palestinian National Authority civil rule, and 230 Israeli settlements into which Israeli law is "pipelined".		
food_product_origin geo_loc (country)	Western Sahara	GAZ:00000564	A territory of northwestern Africa, bordered by Morocco to the north, Algeria in the northeast, Mauritania to the east and south, and the Atlantic Ocean on the west. Western Sahara is administratively divided into four regions.		
food_product_origin geo_loc (country)	Yemen	GAZ:00005284	A country located on the Arabian Peninsula in Southwest Asia. Yemen is bordered by Saudi Arabia to the North, the Red Sea to the West, the Arabian Sea and Gulf of Aden to the South, and Oman to the east. Yemen's territory includes over 200 islands, the largest of which is Socotra, about 415 km to the south of Yemen, off the coast of Somalia. As of 2004-02, Yemen is divided into twenty governorates (muhafazah) and one municipality. The population of each governorate is listed in the table below. The governorates of Yemen are divided into 333 districts (muderiah). The districts are subdivided into 2,210 sub-districts, and then into 38,284 villages (as of 2001).		
food_product_origin geo_loc (country)	Zambia	GAZ:00001107	A landlocked country in Southern Africa. The neighbouring countries are the Democratic Republic of the Congo to the north, Tanzania to the north-east, Malawi to the east, Mozambique, Zimbabwe, Botswana, and Namibia to the south, and Angola to the west. The capital city is Lusaka. Zambia is divided into nine provinces. Each province is subdivided into several districts with a total of 73 districts.		
food_product_origin geo_loc (country)	Zimbabwe	GAZ:00001106	A landlocked country in the southern part of the continent of Africa, between the Zambezi and Limpopo rivers. It is bordered by South Africa to the south, Botswana to the southwest, Zambia to the northwest, and Mozambique to the east. Zimbabwe is divided into eight provinces and two cities with provincial status. The provinces are subdivided into 59 districts and 1,200 municipalities.		
host_origin geo_loc (country)					
host_origin geo_loc (country)	Afghanistan	GAZ:00006882	A landlocked country that is located approximately in the center of Asia. It is bordered by Pakistan in the south and east Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast. Afghanistan is administratively divided into thirty-four (34) provinces (welayats). Each province is then divided into many provincial districts, and each district normally covers a city or several townships. [ url:http://en.wikipedia.org/wiki/Afghanistan ]		
host_origin geo_loc (country)	Albania	GAZ:00002953	A country in South Eastern Europe. Albania is bordered by Greece to the south-east, Montenegro to the north, Kosovo to the northeast, and the Republic of Macedonia to the east. It has a coast on the Adriatic Sea to the west, and on the Ionian Sea to the southwest. From the Strait of Otranto, Albania is less than 100 km from Italy. Albania is divided into 12 administrative divisions called (Albanian: official qark/qarku, but often prefekture/prefektura Counties), 36 districts (Rrethe) and 351 municipalities (Bashkia) and communes (Komuna). [ url:http://en.wikipedia.org/wiki/Albania ]		
host_origin geo_loc (country)	Algeria	GAZ:00000563	A country in North Africa. It is bordered by Tunisia in the northeast, Libya in the east, Niger in the southeast, Mali and Mauritania in the southwest, a few km of the Western Sahara in the west, Morocco in the northwest, and the Mediterranean Sea in the north. It divided into 48 provinces (wilayas), 553 districts (dairas) and 1,541 municipalities (communes, baladiyahs). [ url:http://en.wikipedia.org/wiki/Algeria ]		
host_origin geo_loc (country)	American Samoa	GAZ:00003957	An unincorporated territory of the United States located in the South Pacific Ocean, southeast of the sovereign State of Samoa. The main (largest and most populous) island is Tutuila, with the Manu'a Islands, Rose Atoll, and Swains Island also included in the territory. [ url:http://en.wikipedia.org/wiki/American_Samoa ]		
host_origin geo_loc (country)	Andorra	GAZ:00002948	A small landlocked country in western Europe, located in the eastern Pyrenees mountains and bordered by Spain (Catalonia) and France. Andorra consists of seven communities known as parishes (Catalan: parroquies, singular - parroquia). Until relatively recently, it had only six parishes; the seventh, Escaldes-Engordany, was created in 1978. Some parishes have a further territorial subdivision. Ordino, La Massana and Sant Julia de Loria are subdivided into quarts (quarters), while Canillo is subdivided into veinats (neighborhoods). Those mostly coincide with villages, which are found in all parishes. [ url:http://en.wikipedia.org/wiki/Andorra ]		
host_origin geo_loc (country)	Angola	GAZ:00001095	A country in south-central Africa bordering Namibia to the south, Democratic Republic of the Congo to the north, and Zambia to the east, and with a west coast along the Atlantic Ocean. The exclave province Cabinda has a border with the Republic of the Congo and the Democratic Republic of the Congo. [ url:http://en.wikipedia.org/wiki/Angola ]		
host_origin geo_loc (country)	Anguilla	GAZ:00009159	A British overseas territory in the Caribbean, one of the most northerly of the Leeward Islands in the Lesser Antilles. It consists of the main island of Anguilla itself, approximately 26 km long by 5 km wide at its widest point, together with a number of much smaller islands and cays with no permanent population. [ url:http://en.wikipedia.org/wiki/Anguila ]		
host_origin geo_loc (country)	Antarctica	GAZ:00000462	The Earth's southernmost continent, overlying the South Pole. It is situated in the southern hemisphere, almost entirely south of the Antarctic Circle, and is surrounded by the Southern Ocean. [ url:http://en.wikipedia.org/wiki/Antarctica ]		
host_origin geo_loc (country)	Antigua and Barbuda	GAZ:00006883	An island nation located on the eastern boundary of the Caribbean Sea with the Atlantic Ocean. [ url:http://en.wikipedia.org/wiki/Antigua_and_Barbuda ]		
host_origin geo_loc (country)	Argentina	GAZ:00002928	A South American country, constituted as a federation of twenty-three provinces and an autonomous city. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. The country claims the British controlled territories of the Falkland Islands and South Georgia and the South Sandwich Islands. Argentina also claims 969,464 km2 of Antarctica, known as Argentine Antarctica, overlapping other claims made by Chile and the United Kingdom. Argentina is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one federal district (Capital de la Republica or Capital de la Nacion, informally the Capital Federal). The federal district and the provinces have their own constitutions, but exist under a federal system. Provinces are then divided into departments (Spanish: departamentos, singular departamento), except for Buenos Aires Province, which is divided into partidos. [ url:http://en.wikipedia.org/wiki/Argentina ]		
host_origin geo_loc (country)	Armenia	GAZ:00004094	A landlocked mountainous country in Eurasia between the Black Sea and the Caspian Sea in the Southern Caucasus. It borders Turkey to the west, Georgia to the north, Azerbaijan to the east, and Iran and the Nakhchivan exclave of Azerbaijan to the south. A transcontinental country at the juncture of Eastern Europe and Western Asia. A former republic of the Soviet Union. Armenia is divided into ten marzes (provinces, singular marz), with the city (kaghak) of Yerevan having special administrative status as the country's capital. [ url:http://en.wikipedia.org/wiki/Armenia ]		
host_origin geo_loc (country)	Aruba	GAZ:00004025	An autonomous region within the Kingdom of the Netherlands, Aruba has no administrative subdivisions. [ url:http://en.wikipedia.org/wiki/Aruba ]		
host_origin geo_loc (country)	Ashmore and Cartier Islands	GAZ:00005901	A Territory of Australia that includes two groups of small low-lying uninhabited tropical islands in the Indian Ocean situated on the edge of the continental shelf north-west of Australia and south of the Indonesian island of Roti. [ url:http://en.wikipedia.org/wiki/Ashmore_and_Cartier_Islands ]		
host_origin geo_loc (country)	Australia	GAZ:00000463	A country in the southern hemisphere comprising the mainland of the world's smallest continent, the major island of Tasmania, and a number of other islands in the Indian and Pacific Oceans. The neighbouring countries are Indonesia, East Timor, and Papua New Guinea to the north, the Solomon Islands, Vanuatu, and New Caledonia to the north-east, and New Zealand to the south-east. Australia has six states, two major mainland territories, and other minor territories.		
host_origin geo_loc (country)	Austria	GAZ:00002942	A landlocked country in Central Europe. It borders both Germany and the Czech Republic to the north, Slovakia and Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west. The capital is the city of Vienna on the Danube River. Austria is divided into nine states (Bundeslander). These states are then divided into districts (Bezirke) and cities (Statutarstadte). Districts are subdivided into municipalities (Gemeinden). Cities have the competencies otherwise granted to both districts and municipalities.		
host_origin geo_loc (country)	Azerbaijan	GAZ:00004941	A country in the he South Caucasus region of Eurasia, it is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west, and Iran to the south. The Azerbaijani exclave of Nakhchivan is bordered by Armenia to the north and east, Iran to the south and west, and Turkey to the northwest. Nagorno-Karabakh, along with 7 other districts in Azerbaijan's southwest, have been controlled by Armenia since the end of the Nagorno-Karabakh War in 1994. Azerbaijan is divided into 59 rayons 11 city districts (saharlar), and one autonomous republic (muxtar respublika).		
host_origin geo_loc (country)	Bahamas	GAZ:00002733	A country consisting of two thousand cays and seven hundred islands that form an archipelago. It is located in the Atlantic Ocean, southeast of Florida and the United States, north of Cuba, the island of Hispanola and the Caribbean, and northwest of the British overseas territory of the Turks and Caicos Islands. It is divided into 32 districts, plus New Providence, whose affairs are handled directly by the central government.		
host_origin geo_loc (country)	Bahrain	GAZ:00005281	A borderless island country in the Persian Gulf. Saudi Arabia lies to the west and is connected to Bahrain by the King Fahd Causeway, and Qatar is to the south across the Gulf of Bahrain. Bahrain is split into five governorates.		
host_origin geo_loc (country)	Baker Island	GAZ:00007117	An uninhabited atoll located just north of the equator in the central Pacific Ocean about 3,100 km southwest of Honolulu. Baker Island is an unincorporated and unorganized territory of the US.		
host_origin geo_loc (country)	Bangladesh	GAZ:00003750	A country in South Asia. It is bordered by India on all sides except for a small border with Myanmar to the far southeast and by the Bay of Bengal to the south. Bangladesh is divided into six administrative divisions. Divisions are subdivided into districts (zila). There are 64 districts in Bangladesh, each further subdivided into upazila (subdistricts) or thana ("police stations").		
host_origin geo_loc (country)	Barbados	GAZ:00001251	An island country in the Lesser Antilles of the West Indies, in the Caribbean region of the Americas, and the most easterly of the Caribbean Islands. It is 34 kilometres (21 miles) in length and up to 23 km (14 mi) in width, covering an area of 432 km2 (167 sq mi). It is in the western part of the North Atlantic, 100 km (62 mi) east of the Windward Islands and the Caribbean Sea.[7] Barbados is east of the Windwards, part of the Lesser Antilles, at roughly 13°N of the equator. It is about 168 km (104 mi) east of both the countries of Saint Lucia and Saint Vincent and the Grenadines and 180 km (110 mi) south-east of Martinique and 400 km (250 mi) north-east of Trinidad and Tobago. Barbados is outside the principal Atlantic hurricane belt. Its capital and largest city is Bridgetown.		
host_origin geo_loc (country)	Bassas da India	GAZ:00005810	A roughly circular atoll about 10 km in diameter, which corresponds to a total size (including lagoon) of 80 km2. It is located in the southern Mozambique Channel, about half-way between Madagascar (which is 385 km to the east) and Mozambique, and 110 km northwest of Europa Island. It rises steeply from the seabed 3000 m below.		
host_origin geo_loc (country)	Belarus	GAZ:00006886	A landlocked country in Eastern Europe, that borders Russia to the north and east, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the north. Its capital is Minsk. Belarus is divided into six voblasts, or provinces. Voblasts are further subdivided into raions (commonly translated as districts or regions). As of 2002, there are six voblasts, 118 raions, 102 towns and 108 urbanized settlements. Minsk is given a special status, due to the city serving as the national capital.		
host_origin geo_loc (country)	Belgium	GAZ:00002938	A country in northwest Europe. Belgium shares borders with France (620 km), Germany (167 km), Luxembourg (148 km) and the Netherlands (450 km). The Flemish Region (Flanders) and the Walloon Region (Wallonia) each comprise five provinces; the third region, Brussels-Capital Region, is not a province, nor does it contain any Together, these comprise 589 municipalities, which in general consist of several sub-municipalities (which were independent municipalities before the municipal merger operation mainly in 1977).		
host_origin geo_loc (country)	Belize	GAZ:00002934	A country in Central America. It is the only officially English speaking country in the region. Belize was a British colony for more than a century and was known as British Honduras until 1973. It became an independent nation within The Commonwealth in 1981. Belize is divided into 6 districts, which are further divided into 31 constituencies.		
host_origin geo_loc (country)	Benin	GAZ:00000904	A country in Western Africa. It borders Togo to the west, Nigeria to the east and Burkina Faso and Niger to the north; its short coastline to the south leads to the Bight of Benin. Its capital is Porto Novo, but the seat of government is Cotonou. Benin is divided into 12 departments and subdivided into 77 communes.		
host_origin geo_loc (country)	Bermuda	GAZ:00001264	A British overseas territory in the North Atlantic Ocean. Located off the east coast of the United States, it is situated around 1770 km NE of Miami, Florida and 1350 km S of Halifax, Nova Scotia. Comprised of approximately 138 islands.		
host_origin geo_loc (country)	Bhutan	GAZ:00003920	A landlocked nation in South Asia. It is located amidst the eastern end of the Himalaya Mountains and is bordered to the south, east and west by India and to the north by Tibet. Bhutan is separated from Nepal by the Indian State of Sikkim. Bhutan is divided into four dzongdey (administrative zones). Each dzongdey is further divided into dzongkhag (districts). There are twenty dzongkhag in Bhutan. Large dzongkhags are further divided into subdistricts known as dungkhag. At the basic level, groups of villages form a constituency called gewog.		
host_origin geo_loc (country)	Bolivia	GAZ:00002511	A landlocked country in central South America. It is bordered by Brazil on the north and east, Paraguay and Argentina on the south, and Chile and Peru on the west. Bolivia is divided into 9 departments (Spanish: departamentos). Each of the departments is subdivided into provinces (provincias), which are further subdivided into municipalities (municipios).		
host_origin geo_loc (country)	Borneo	GAZ:00025355	An island at the grographic centre of Maritime Southeast Adia, in relation to major Indonesian islands, it is located north of Java, west of Sulawesi, and east of Sumatra. It is the third-largest island in the world and the larest in Asia. The island is politically divided among three countries: Malaysia and Brunei in the north, and Indonesia to the south.[1] Approximately 73% of the island is Indonesian territory. In the north, the East Malaysian states of Sabah and Sarawak make up about 26% of the island. Additionally, the Malaysian federal territory of Labuan is situated on a small island just off the coast of Borneo. The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land area. A little more than half of the island is in the Northern Hemisphere, including Brunei and the Malaysian portion, while the Indonesian portion spans the Northern and Southern hemispheres.		
host_origin geo_loc (country)	Bosnia and Herzegovina	GAZ:00006887	A country on the Balkan peninsula of Southern Europe. Bordered by Croatia to the north, west and south, Serbia to the east, and Montenegro to the south, Bosnia and Herzegovina is mostly landlocked, except for 26 km of the Adriatic Sea coastline. Bosnia and Herzegovina is now divided into three political regions of which one, the Brcko District is part of the other two, the Federacija Bosne i Hercegovine and the Republika Srpska. All three have an equal constitutional status on the whole territory of Bosnia and Herzegovina.		
host_origin geo_loc (country)	Botswana	GAZ:00001097	A landlocked nation in Southern Africa. It is bordered by South Africa to the south and southeast, Namibia to the west, Zambia to the north, and Zimbabwe to the northeast. Botswana is divided into nine districts, which are subdivided into a total twenty-eight subdistricts.		
host_origin geo_loc (country)	Bouvet Island	GAZ:00001453	A sub-antarctic volcanic island in the South Atlantic Ocean, south-southwest of the Cape of Good Hope (South Africa). It is a dependent area of Norway and is not subject to the Antarctic Treaty, as it is north of the latitude south of which claims are suspended.		
